club_id,name,addressLine3,foundedOn,currentTransferRecord,currentMarketValue,squad.size,squad.averageAge,squad.foreigners,squad.nationalTeamPlayers,league.id,league.name,league.tier
1,1.FC Saarbrücken,Germany,1903-04-18,-75000,8500000,29,27.0,7,0,L3,3. Liga,Third Tier
2,1.FC Kaiserslautern,Germany,1900-06-02,-1890000,30450000,31,26.2,10,2,L2,2. Bundesliga,Second Tier
3,1.FC Köln,Germany,1948-02-13,3100000,61630000,31,25.7,11,5,L2,2. Bundesliga,Second Tier
4,1.FC Nuremberg,Germany,1900-05-04,25270000,34530000,29,24.2,9,1,L2,2. Bundesliga,Second Tier
5,AC Milan,Italy,1899-12-16,-70900000,570000000,26,26.2,20,14,IT1,Serie A,First Tier
6,Adanaspor,Türkiye,1954-01-23,0,7550000,30,27.3,13,0,TR2,1.Lig,Second Tier
7,Al Ahly FC,Egypt,1907-04-24,1460000,33900000,32,27.2,7,14,EGY1,Egyptian Premier League,First Tier
8,Alemannia Aachen,Germany,1900-12-16,0,5000000,30,26.4,6,0,L3,3. Liga,Third Tier
10,Arminia Bielefeld,Germany,1905-05-03,-800000,7980000,25,24.7,6,1,L3,3. Liga,Third Tier
52,MSV Duisburg,Germany,1902-09-17,0,3800000,26,26.1,4,1,RLW3,Regionalliga West,Fourth Tier
53,OFK Beograd,Serbia,1911-09-01,700000,14830000,35,23.8,13,3,SER1,Super liga Srbije,First Tier
56,Rot-Weiss Essen,Germany,1907-02-01,750000,6230000,27,25.8,7,0,L3,3. Liga,Third Tier
57,Rot-Weiß Oberhausen,Germany,1904-12-18,0,1800000,24,25.9,2,0,RLW3,Regionalliga West,Fourth Tier
58,RSC Anderlecht,Belgium,1908-05-27,13550000,108400000,26,25.5,13,7,BE1,Jupiler Pro League,First Tier
60,SC Freiburg,Germany,1904-05-30,-7100000,167350000,27,27.3,12,6,L1,Bundesliga,First Tier
61,Servette FC,Switzerland,1890-03-20,0,30100000,28,26.3,17,4,C1,Super League,First Tier
62,SK Slavia Prague,Czech Republic,1892-11-02,18860000,104550000,29,25.0,10,19,TS1,Chance Liga,First Tier
64,SV 07 Elversberg,Germany,1907-01-01,350000,21880000,26,26.6,4,2,L2,2. Bundesliga,Second Tier
65,SpVgg Greuther Fürth,Germany,1903-09-23,1050000,21550000,27,25.5,6,1,L2,2. Bundesliga,Second Tier
66,SpVgg Unterhaching,Germany,1925-01-01,65000,6480000,34,23.5,2,0,L3,3. Liga,Third Tier
