player_id,season,injury,fromDate,untilDate,days
519869,24/25,Cruciate ligament tear,2024-07-01,2024-10-18,110
519869,23/24,Cruciate ligament tear,2024-02-24,2024-06-30,128
519869,23/24,Fitness,2024-01-01,2024-02-23,54
519869,22/23,Cruciate ligament tear,2023-06-22,2023-12-31,193
519869,22/23,cold,2022-09-26,2022-10-06,11
375371,22/23,Cruciate ligament tear,2022-11-30,2023-11-30,366
648028,23/24,Hamstring strain,2024-01-24,2024-03-08,45
648028,22/23,Metatarsal fracture,2023-03-18,2023-07-12,117
648028,21/22,Quarantine,2021-10-29,2021-11-11,14
648028,20/21,Knee surgery,2021-02-27,2021-04-15,48
284178,24/25,Adductor pain,2024-10-11,2024-12-01,52
284178,24/25,Adductor pain,2024-08-28,2024-09-15,19
284178,23/24,Torn lateral ankle ligament,2024-05-10,2024-05-21,12
284178,23/24,muscular problems,2023-08-08,2023-08-14,7
284178,23/24,Knee problems,2023-07-07,2023-07-17,11
284178,22/23,infection,2023-01-18,2023-01-23,6
284178,22/23,Muscle injury,2022-09-12,2022-12-07,87
284178,21/22,Achilles tendon problems,2022-04-20,2022-04-30,11
284178,21/22,Muscle injury,2022-02-26,2022-03-04,7
284178,20/21,Adductor pain,2021-05-10,2021-05-13,4
284178,20/21,Rest,2020-10-27,2020-10-29,3
284178,19/20,Fitness,2019-08-05,2019-11-11,99
284178,18/19,Cruciate ligament tear,2019-01-28,2019-08-05,190
284178,18/19,Fitness,2018-09-11,2019-01-01,113
284178,17/18,Cruciate ligament tear,2018-04-16,2018-09-11,149
603122,24/25,bruise,2024-10-29,2024-11-19,22
1111045,24/25,Knock,2024-07-01,2024-11-09,132
391766,24/25,Ill,2025-02-27,2025-03-04,6
391766,24/25,Hamstring injury,2024-10-31,2024-11-15,16
391766,22/23,muscular problems,2023-02-25,2023-03-04,8
391766,20/21,Ill,2020-10-23,2020-10-30,8
565009,21/22,unknown injury,2022-10-11,2022-10-15,5
565009,23/24,unknown injury,2022-02-20,2022-02-26,7
345647,23/24,unknown injury,2024-06-29,2024-07-08,10
345647,19/20,unknown injury,2019-07-12,2019-07-26,15
345647,18/19,unknown injury,2018-11-11,2018-11-19,9
271755,21/22,Achilles tendon rupture,2021-08-25,2022-02-27,187
235371,20/21,Torn muscle fiber,2020-11-01,2020-11-19,19
392774,24/25,Hamstring injury,2025-01-22,2025-03-20,58
392774,24/25,Hamstring injury,2024-08-18,2024-09-25,39
392774,23/24,Hamstring injury,2023-08-16,2023-09-13,29
171209,23/24,Ankle problems,2023-07-13,2023-07-18,6
171209,20/21,Adductor pain,2020-12-14,2020-12-21,8
171209,19/20,Fitness,2019-08-07,2019-08-15,9
171209,16/17,stomach problems,2017-04-27,2017-04-28,2
171209,16/17,Calf problems,2017-04-17,2017-04-20,4
