player_id,years_as_pro
2989,21
3333,21
3655,20
7825,20
7966,21
8246,20
9247,11
9273,20
9915,21
10471,20
11111,21
11530,14
11686,21
12029,20
12249,17
12359,21
12589,21
12880,20
12907,13
13434,20
14043,20
14044,21
14086,20
14184,21
14555,20
14783,20
15185,20
15262,20
15452,20
15568,21
15570,20
15799,21
16136,21
16306,15
16756,20
16911,21
17259,20
17592,20
18829,20
18934,20
19074,21
19114,21
19483,10
20137,20
20463,12
21040,21
21101,20
21327,20
22206,13
22415,20
22611,20
22753,20
23523,20
23874,21
24202,21
24484,20
24846,21
25186,20
25289,20
25389,21
25520,21
25557,20
25758,19
25942,17
26061,20
26445,16
26485,19
27178,16
27493,19
27700,18
27706,20
27807,20
27992,19
28285,18
28308,19
28356,18
28396,19
28463,21
28728,20
28957,20
29241,20
29364,20
29586,20
29692,20
30290,20
30321,17
30690,18
30753,18
31067,19
31469,20
31552,19
31599,20
31653,19
31968,19
32467,19
32526,19
32779,18
32845,20
33027,19
33210,20
33571,19
33637,19
33763,20
33771,19
33781,20
33829,20
33837,19
33873,19
33947,20
34130,19
34283,20
34453,16
34486,20
34661,18
34784,18
34913,17
35004,18
35047,19
35099,19
35205,14
35247,19
35416,20
35645,19
35872,19
36139,18
36709,16
36757,16
36789,19
36898,17
36993,18
37216,18
37410,19
37647,19
37666,18
37838,19
37920,19
37951,19
38003,17
38073,19
38253,17
38340,18
38348,18
38746,19
38780,17
38817,15
39015,18
39029,16
39084,18
39096,18
39125,12
39152,18
39372,19
39665,18
39693,19
39728,19
39827,16
39828,18
40034,18
40433,18
40436,18
40478,18
40501,18
40520,14
40605,16
40615,18
40617,18
40633,19
40687,19
40792,18
40952,15
41013,17
41131,19
41335,16
41355,19
41362,19
41384,18
41458,18
41526,17
41653,17
41869,16
41875,16
41920,18
41997,15
42003,18
42004,18
42205,19
42401,19
42412,18
42460,19
42547,19
42710,17
42717,17
42735,19
42748,18
42913,17
43010,17
43011,18
43085,19
43239,13
43250,18
43259,17
43266,18
43271,18
43494,11
43530,17
43696,17
43722,17
43728,17
43734,18
43745,17
43785,15
43824,14
43858,19
44017,18
44058,18
44162,17
44182,15
44536,17
44607,18
44699,17
44726,17
44799,18
44996,18
45022,18
45026,19
45146,17
45184,18
45228,18
45307,17
45308,13
45320,18
45327,18
45333,17
45395,18
45403,18
45425,18
45431,17
45459,18
45464,17
45492,17
45494,18
45516,18
45518,17
45577,17
45601,17
45607,18
45622,15
45628,15
45660,17
45664,15
45671,15
45672,17
45683,16
45685,16
45698,15
45707,16
45754,15
45832,16
46001,18
46021,17
46083,17
46104,18
46111,16
46154,18
46179,18
46199,15
46346,15
46405,14
46413,17
46415,18
46567,17
46580,15
46695,18
46972,16
47004,17
47194,12
47367,17
47592,17
47594,14
47713,18
47740,14
48002,18
48066,18
48078,17
48098,17
48119,17
48164,18
48249,13
48261,15
48262,17
48280,18
48483,14
48870,17
48950,17
49089,15
49128,17
49239,17
49275,17
49362,15
49459,15
49542,18
49558,15
49597,18
49637,9
49667,18
49693,15
49723,16
49730,16
49737,16
49929,16
49993,17
50057,18
50144,17
50201,17
50219,18
50413,18
50483,18
50600,16
50669,15
50742,17
50751,17
50774,17
51035,18
51046,18
51053,17
51069,17
51100,16
51143,14
51152,12
51161,17
51178,15
51274,18
51349,17
51356,17
51452,16
51471,14
51510,17
51534,18
51540,18
51569,12
51587,18
51655,18
51661,17
51676,16
51730,17
51733,17
51977,18
52119,15
52188,17
52269,18
52281,17
52490,8
52570,17
52723,17
52769,17
52848,14
52911,18
53015,17
53058,18
53116,17
53226,17
53286,18
53360,17
53400,15
53432,16
53533,17
53536,16
53622,17
53669,15
53696,15
53742,14
53847,17
53922,18
54155,17
54177,18
54235,16
54265,17
54330,17
54336,17
54375,16
54383,17
54534,17
54590,18
54596,18
54691,18
54714,15
54716,17
54775,13
54781,18
54863,16
54871,15
54906,18
54938,15
55089,16
55092,16
55099,16
55143,18
55150,17
55167,17
55291,18
55338,14
55508,17
55510,15
55520,1
55525,15
55572,11
55605,17
55619,17
55735,16
55759,17
55769,15
55895,17
55898,17
55925,18
55972,16
56005,16
56006,18
56046,17
56066,18
56416,17
56490,17
56523,18
56552,17
56601,17
56618,14
56684,16
56809,17
56830,18
56831,18
56836,17
56976,16
57053,17
57070,17
57216,17
57370,17
57403,18
57467,17
57480,17
57482,17
57500,17
57522,18
57598,14
57633,16
57723,17
57796,16
57814,17
57935,17
58088,17
58115,17
58275,10
58345,17
58358,17
58359,8
58474,17
58534,17
58570,17
58602,17
58855,17
58957,17
58965,16
58971,18
58995,15
59009,16
59016,16
59031,13
59032,17
59053,17
59054,15
59057,16
59068,15
59082,17
59084,17
59131,16
59145,15
59194,14
59205,17
59229,16
59248,17
59268,17
59322,13
59377,17
59383,16
59543,16
59561,17
59596,17
59615,13
59633,16
59641,17
59772,17
59818,15
59866,17
59896,14
59931,17
59991,18
60021,16
60164,17
60175,18
60220,16
60258,17
60394,15
60410,17
60445,15
60509,15
60537,14
60540,14
60543,15
60561,16
60573,17
60577,16
60603,17
60639,15
60710,18
60792,17
60799,15
60889,17
60904,14
60909,15
60916,16
60951,16
60957,16
61005,16
61011,14
61194,15
61336,17
61353,16
61397,18
61399,17
61417,16
61429,10
61487,17
61495,17
61549,17
61561,17
61573,14
61591,16
61612,14
61622,17
61644,17
61651,16
61697,16
61711,15
61812,12
61814,16
61841,15
61842,14
62052,14
62094,13
62147,16
62163,15
62351,15
62514,17
62565,15
62640,14
62700,18
62713,15
62945,12
63186,17
63192,17
63199,17
63200,17
63252,17
63422,13
63463,17
63489,17
63491,18
63751,17
63824,16
63828,16
63837,16
63955,16
63965,16
64000,16
64134,14
64246,16
64313,17
64339,15
64352,15
64399,18
64545,17
64663,17
64791,16
64793,14
64868,17
65194,18
65278,17
65290,17
65318,15
65442,16
65467,18
65489,17
65691,15
65692,16
65906,17
65927,18
65937,10
66005,16
66052,16
66096,12
66106,17
66219,17
66241,17
66258,17
66362,17
66472,17
66490,17
66497,16
66501,11
66515,17
66615,16
66669,17
66708,10
66783,16
66953,17
66994,14
67063,17
67214,15
67215,9
67221,13
67237,8
67283,16
67375,14
67386,15
67420,15
67421,15
67556,16
67818,15
67850,16
67869,16
67886,17
67920,16
68004,16
68030,16
68033,16
68097,17
68211,17
68290,16
68331,17
68390,16
68571,10
68626,6
68718,14
68863,14
68978,15
68980,16
69015,17
69110,15
69392,16
69400,17
69402,15
69633,16
69642,15
69646,16
69653,16
69755,14
69899,17
70019,15
70074,17
70114,17
70170,16
70176,17
70243,15
70245,14
70411,17
70504,17
70580,14
70627,14
70699,17
70720,13
70873,17
71106,17
71271,13
71273,17
71292,17
71401,16
71440,16
71442,16
71542,17
71548,14
71594,16
71716,11
71830,9
71834,16
72047,15
72121,13
72266,16
72310,16
72402,12
72422,17
72441,17
72476,16
72484,17
72504,14
72518,13
72522,17
72578,15
72643,16
72736,16
72768,15
72772,15
72792,15
72835,15
72903,16
72933,9
72947,17
72975,17
73013,15
73033,16
73037,13
73075,9
73090,16
73097,16
73185,14
73250,16
73269,16
73333,16
73345,15
73457,16
73472,16
73501,15
73517,13
73522,15
73547,12
73564,17
73720,15
73735,17
73741,17
73774,14
73794,15
73846,13
73926,17
73929,16
73943,16
74040,17
74071,13
74156,14
74179,16
74229,14
74230,13
74232,15
74241,15
74294,16
74297,15
74302,15
74421,16
74559,13
74641,16
74683,16
74741,17
74810,15
74842,15
74857,15
74861,16
74869,15
74872,15
74943,17
74952,16
74956,15
75067,17
75280,16
